seq,ra,dec,mag,z_best,z_spec,z_phot,z_spec_quality,zphot_l68,zphot_u68,zphot_l95,zphot_u95,snr,m,m_std
835.0,53.179348,-27.9235973,20.23,0.674,-99.0,0.674,-99.0,0.63,0.72,0.58,0.76,335.4,27200000000.0,5330000000.0
836.0,53.122154200000004,-27.922424300000003,22.56,0.639,-99.0,0.639,-99.0,0.58,0.7,0.52,0.75,67.3,1090000000.0,160000000.0
837.0,53.097282400000005,-27.921890299999998,24.26,0.595,-99.0,0.595,-99.0,0.54,0.65,0.49,0.69,21.28,189000000.0,19800000.0
838.0,53.1633797,-27.921550800000002,25.64,1.199,-99.0,1.199,-99.0,1.08,1.32,0.95,1.51,4.51,313000000.0,53100000.0
839.0,53.104614299999994,-27.9217625,24.46,0.727,-99.0,0.727,-99.0,0.65,0.8,0.58,0.88,25.76,248000000.0,52500000.0
840.0,53.171676600000005,-27.9218369,23.64,0.787,2.5246,0.787,3.0,0.72,0.85,0.66,0.91,40.37,791000000.0,146000000.0
841.0,53.132530200000005,-27.9214745,25.41,1.374,-99.0,1.374,-99.0,1.26,1.5,1.15,1.72,14.11,312000000.0,72600000.0
842.0,53.147918700000005,-27.921731899999997,24.69,3.153,-99.0,3.153,-99.0,3.08,3.23,3.03,3.31,22.67,7800000000.0,1800000000.0
843.0,53.1017647,-27.9225273,22.93,1.229,1.2651,1.229,3.0,1.16,1.29,1.1,1.35,56.18,2790000000.0,704000000.0
844.0,53.1153603,-27.921461100000002,24.08,0.111,-99.0,0.111,-99.0,0.07,0.16,0.02,0.42,10.31,19800000.0,5230000.0
845.0,53.1017876,-27.9213886,25.3,2.526,-99.0,2.526,-99.0,2.35,2.66,2.07,2.77,6.38,866000000.0,177000000.0
846.0,53.117824600000006,-27.921464899999997,24.87,1.269,-99.0,1.2690000000000001,-99.0,1.17,1.36,1.1,1.47,14.19,863000000.0,111000000.0
847.0,53.11219789999999,-27.921300899999995,26.08,1.364,-99.0,1.364,-99.0,1.21,1.52,1.06,1.84,6.97,107000000.0,25700000.0
848.0,53.2132759,-27.921308500000002,23.34,1.512,-99.0,1.5119999999999998,-99.0,1.45,1.57,1.38,1.67,12.7,2660000000.0,635000000.0
849.0,53.1150856,-27.9213047,24.33,0.115,-99.0,0.115,-99.0,0.09,0.58,0.04,0.67,10.83,28800000.0,7380000.0
850.0,53.09695429999999,-27.9211864,26.14,0.907,-99.0,0.907,-99.0,0.68,1.14,0.38,4.74,6.84,205000000.0,49800000.0
851.0,53.0995522,-27.921176899999995,25.35,1.836,-99.0,1.8359999999999999,-99.0,1.72,1.94,1.59,2.04,16.04,663000000.0,169000000.0
852.0,53.148166700000004,-27.921112100000006,25.5,1.408,-99.0,1.4080000000000001,-99.0,1.31,1.52,1.22,1.67,13.24,487000000.0,133000000.0
854.0,53.1569176,-27.921337100000006,23.74,1.053,-99.0,1.053,-99.0,0.99,1.12,0.92,1.19,49.22,2890000000.0,348000000.0
855.0,53.1805916,-27.9209995,25.65,2.166,-99.0,2.166,-99.0,1.91,2.4,1.42,2.6,9.77,2360000000.0,504000000.0
857.0,53.14070129999999,-27.9215984,23.37,2.362,-99.0,2.362,-99.0,2.29,2.46,2.23,2.6,40.71,22800000000.0,4430000000.0
858.0,53.118408200000005,-27.921228399999997,24.17,1.146,-99.0,1.146,-99.0,1.07,1.22,1.01,1.31,19.88,844000000.0,215000000.0
